"Label (Grouping)","ZCTA5 90043!!Total!!Estimate","ZCTA5 90043!!Total!!Margin of Error","ZCTA5 90043!!Percent!!Estimate","ZCTA5 90043!!Percent!!Margin of Error","ZCTA5 90043!!Male!!Estimate","ZCTA5 90043!!Male!!Margin of Error","ZCTA5 90043!!Percent Male!!Estimate","ZCTA5 90043!!Percent Male!!Margin of Error","ZCTA5 90043!!Female!!Estimate","ZCTA5 90043!!Female!!Margin of Error","ZCTA5 90043!!Percent Female!!Estimate","ZCTA5 90043!!Percent Female!!Margin of Error","ZCTA5 90045!!Total!!Estimate","ZCTA5 90045!!Total!!Margin of Error","ZCTA5 90045!!Percent!!Estimate","ZCTA5 90045!!Percent!!Margin of Error","ZCTA5 90045!!Male!!Estimate","ZCTA5 90045!!Male!!Margin of Error","ZCTA5 90045!!Percent Male!!Estimate","ZCTA5 90045!!Percent Male!!Margin of Error","ZCTA5 90045!!Female!!Estimate","ZCTA5 90045!!Female!!Margin of Error","ZCTA5 90045!!Percent Female!!Estimate","ZCTA5 90045!!Percent Female!!Margin of Error","ZCTA5 90250!!Total!!Estimate","ZCTA5 90250!!Total!!Margin of Error","ZCTA5 90250!!Percent!!Estimate","ZCTA5 90250!!Percent!!Margin of Error","ZCTA5 90250!!Male!!Estimate","ZCTA5 90250!!Male!!Margin of Error","ZCTA5 90250!!Percent Male!!Estimate","ZCTA5 90250!!Percent Male!!Margin of Error","ZCTA5 90250!!Female!!Estimate","ZCTA5 90250!!Female!!Margin of Error","ZCTA5 90250!!Percent Female!!Estimate","ZCTA5 90250!!Percent Female!!Margin of Error","ZCTA5 90301!!Total!!Estimate","ZCTA5 90301!!Total!!Margin of Error","ZCTA5 90301!!Percent!!Estimate","ZCTA5 90301!!Percent!!Margin of Error","ZCTA5 90301!!Male!!Estimate","ZCTA5 90301!!Male!!Margin of Error","ZCTA5 90301!!Percent Male!!Estimate","ZCTA5 90301!!Percent Male!!Margin of Error","ZCTA5 90301!!Female!!Estimate","ZCTA5 90301!!Female!!Margin of Error","ZCTA5 90301!!Percent Female!!Estimate","ZCTA5 90301!!Percent Female!!Margin of Error","ZCTA5 90302!!Total!!Estimate","ZCTA5 90302!!Total!!Margin of Error","ZCTA5 90302!!Percent!!Estimate","ZCTA5 90302!!Percent!!Margin of Error","ZCTA5 90302!!Male!!Estimate","ZCTA5 90302!!Male!!Margin of Error","ZCTA5 90302!!Percent Male!!Estimate","ZCTA5 90302!!Percent Male!!Margin of Error","ZCTA5 90302!!Female!!Estimate","ZCTA5 90302!!Female!!Margin of Error","ZCTA5 90302!!Percent Female!!Estimate","ZCTA5 90302!!Percent Female!!Margin of Error","ZCTA5 90303!!Total!!Estimate","ZCTA5 90303!!Total!!Margin of Error","ZCTA5 90303!!Percent!!Estimate","ZCTA5 90303!!Percent!!Margin of Error","ZCTA5 90303!!Male!!Estimate","ZCTA5 90303!!Male!!Margin of Error","ZCTA5 90303!!Percent Male!!Estimate","ZCTA5 90303!!Percent Male!!Margin of Error","ZCTA5 90303!!Female!!Estimate","ZCTA5 90303!!Female!!Margin of Error","ZCTA5 90303!!Percent Female!!Estimate","ZCTA5 90303!!Percent Female!!Margin of Error","ZCTA5 90304!!Total!!Estimate","ZCTA5 90304!!Total!!Margin of Error","ZCTA5 90304!!Percent!!Estimate","ZCTA5 90304!!Percent!!Margin of Error","ZCTA5 90304!!Male!!Estimate","ZCTA5 90304!!Male!!Margin of Error","ZCTA5 90304!!Percent Male!!Estimate","ZCTA5 90304!!Percent Male!!Margin of Error","ZCTA5 90304!!Female!!Estimate","ZCTA5 90304!!Female!!Margin of Error","ZCTA5 90304!!Percent Female!!Estimate","ZCTA5 90304!!Percent Female!!Margin of Error","ZCTA5 90305!!Total!!Estimate","ZCTA5 90305!!Total!!Margin of Error","ZCTA5 90305!!Percent!!Estimate","ZCTA5 90305!!Percent!!Margin of Error","ZCTA5 90305!!Male!!Estimate","ZCTA5 90305!!Male!!Margin of Error","ZCTA5 90305!!Percent Male!!Estimate","ZCTA5 90305!!Percent Male!!Margin of Error","ZCTA5 90305!!Female!!Estimate","ZCTA5 90305!!Female!!Margin of Error","ZCTA5 90305!!Percent Female!!Estimate","ZCTA5 90305!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","4,013","±601","(X)","(X)","2,175","±469","(X)","(X)","1,838","±316","(X)","(X)","6,987","±820","(X)","(X)","3,336","±575","(X)","(X)","3,651","±615","(X)","(X)","9,125","±748","(X)","(X)","4,084","±544","(X)","(X)","5,041","±616","(X)","(X)","3,766","±675","(X)","(X)","1,864","±369","(X)","(X)","1,902","±508","(X)","(X)","2,819","±554","(X)","(X)","1,230","±305","(X)","(X)","1,589","±483","(X)","(X)","2,085","±324","(X)","(X)","1,046","±234","(X)","(X)","1,039","±173","(X)","(X)","2,623","±430","(X)","(X)","1,368","±319","(X)","(X)","1,255","±251","(X)","(X)","1,196","±344","(X)","(X)","573","±221","(X)","(X)","623","±220","(X)","(X)"
"        Less than high school graduate","546","±221","13.6%","±5.6","387","±200","17.8%","±9.0","159","±94","8.7%","±5.1","326","±218","4.7%","±2.9","295","±212","8.8%","±5.9","31","±44","0.8%","±1.2","888","±271","9.7%","±2.9","445","±232","10.9%","±5.2","443","±186","8.8%","±3.5","486","±236","12.9%","±5.8","271","±183","14.5%","±8.8","215","±139","11.3%","±6.9","334","±226","11.8%","±7.1","99","±79","8.0%","±6.7","235","±212","14.8%","±10.5","424","±139","20.3%","±5.7","255","±99","24.4%","±8.8","169","±106","16.3%","±9.5","513","±185","19.6%","±6.6","258","±129","18.9%","±8.3","255","±125","20.3%","±10.1","142","±95","11.9%","±8.3","100","±71","17.5%","±12.7","42","±62","6.7%","±10.1"
"        High school graduate (includes equivalency)","1,209","±366","30.1%","±7.2","834","±316","38.3%","±11.2","375","±153","20.4%","±8.1","663","±237","9.5%","±3.3","296","±154","8.9%","±4.4","367","±157","10.1%","±4.3","2,962","±407","32.5%","±3.9","1,597","±325","39.1%","±6.1","1,365","±290","27.1%","±5.1","1,072","±336","28.5%","±7.2","530","±158","28.4%","±8.8","542","±267","28.5%","±9.6","1,169","±335","41.5%","±7.9","587","±229","47.7%","±13.7","582","±257","36.6%","±10.9","618","±173","29.6%","±7.6","341","±122","32.6%","±10.8","277","±107","26.7%","±9.2","867","±221","33.1%","±7.2","503","±173","36.8%","±11.6","364","±141","29.0%","±8.8","240","±133","20.1%","±11.2","115","±87","20.1%","±15.8","125","±84","20.1%","±12.1"
"        Some college or associate's degree","1,717","±314","42.8%","±6.0","758","±237","34.9%","±8.7","959","±232","52.2%","±8.7","4,728","±464","67.7%","±6.0","2,370","±461","71.0%","±8.1","2,358","±437","64.6%","±7.8","4,343","±608","47.6%","±4.6","1,846","±337","45.2%","±6.6","2,497","±493","49.5%","±6.6","1,795","±398","47.7%","±6.8","886","±296","47.5%","±11.8","909","±297","47.8%","±10.8","1,065","±310","37.8%","±10.3","422","±220","34.3%","±15.1","643","±234","40.5%","±14.6","863","±220","41.4%","±7.7","399","±174","38.1%","±11.9","464","±126","44.7%","±10.1","1,108","±299","42.2%","±7.6","589","±225","43.1%","±11.0","519","±168","41.4%","±8.8","670","±311","56.0%","±15.6","327","±188","57.1%","±17.9","343","±176","55.1%","±18.2"
"        Bachelor's degree or higher","541","±218","13.5%","±4.6","196","±132","9.0%","±5.5","345","±159","18.8%","±7.4","1,270","±402","18.2%","±4.3","375","±138","11.2%","±3.9","895","±366","24.5%","±7.9","932","±273","10.2%","±3.0","196","±95","4.8%","±2.3","736","±259","14.6%","±5.2","413","±189","11.0%","±4.6","177","±115","9.5%","±5.9","236","±128","12.4%","±6.6","251","±135","8.9%","±4.5","122","±97","9.9%","±8.0","129","±90","8.1%","±5.4","180","±85","8.6%","±3.9","51","±43","4.9%","±3.9","129","±70","12.4%","±6.6","135","±71","5.1%","±2.8","18","±22","1.3%","±1.6","117","±68","9.3%","±5.7","144","±91","12.0%","±7.3","31","±46","5.4%","±7.6","113","±82","18.1%","±12.5"
"    Population 25 years and over","31,543","±1,408","(X)","(X)","14,601","±900","(X)","(X)","16,942","±942","(X)","(X)","27,930","±1,362","(X)","(X)","12,871","±767","(X)","(X)","15,059","±899","(X)","(X)","63,029","±1,246","(X)","(X)","30,341","±907","(X)","(X)","32,688","±922","(X)","(X)","25,885","±1,465","(X)","(X)","13,583","±1,046","(X)","(X)","12,302","±712","(X)","(X)","20,196","±1,281","(X)","(X)","9,088","±899","(X)","(X)","11,108","±828","(X)","(X)","15,552","±1,091","(X)","(X)","7,757","±626","(X)","(X)","7,795","±597","(X)","(X)","16,733","±1,344","(X)","(X)","8,636","±950","(X)","(X)","8,097","±671","(X)","(X)","11,103","±723","(X)","(X)","5,086","±443","(X)","(X)","6,017","±496","(X)","(X)"
"        Less than 9th grade","2,464","±397","7.8%","±1.2","1,256","±313","8.6%","±2.1","1,208","±284","7.1%","±1.6","366","±221","1.3%","±0.8","196","±140","1.5%","±1.1","170","±93","1.1%","±0.6","6,803","±740","10.8%","±1.2","3,317","±511","10.9%","±1.7","3,486","±377","10.7%","±1.1","4,198","±611","16.2%","±2.2","2,229","±423","16.4%","±3.1","1,969","±322","16.0%","±2.3","2,358","±479","11.7%","±2.1","1,047","±269","11.5%","±2.6","1,311","±307","11.8%","±2.5","2,586","±550","16.6%","±3.1","1,198","±272","15.4%","±3.1","1,388","±360","17.8%","±4.4","4,642","±609","27.7%","±2.9","2,387","±462","27.6%","±4.0","2,255","±319","27.8%","±4.1","346","±138","3.1%","±1.3","144","±80","2.8%","±1.6","202","±92","3.4%","±1.5"
"        9th to 12th grade, no diploma","2,398","±408","7.6%","±1.3","1,253","±316","8.6%","±2.1","1,145","±244","6.8%","±1.4","734","±291","2.6%","±1.0","260","±132","2.0%","±1.0","474","±252","3.1%","±1.6","6,432","±601","10.2%","±1.0","2,799","±376","9.2%","±1.2","3,633","±469","11.1%","±1.4","2,745","±464","10.6%","±1.7","1,572","±286","11.6%","±2.1","1,173","±275","9.5%","±2.1","1,461","±306","7.2%","±1.5","696","±199","7.7%","±2.3","765","±234","6.9%","±2.0","1,592","±383","10.2%","±2.4","834","±233","10.8%","±3.0","758","±201","9.7%","±2.4","2,945","±550","17.6%","±3.0","1,742","±414","20.2%","±4.6","1,203","±363","14.9%","±4.1","464","±156","4.2%","±1.3","286","±127","5.6%","±2.4","178","±77","3.0%","±1.3"
"        High school graduate (includes equivalency)","6,927","±803","22.0%","±2.4","3,691","±520","25.3%","±3.2","3,236","±568","19.1%","±3.0","2,268","±442","8.1%","±1.5","1,102","±314","8.6%","±2.2","1,166","±259","7.7%","±1.8","14,983","±973","23.8%","±1.5","7,872","±713","25.9%","±2.2","7,111","±558","21.8%","±1.8","5,923","±730","22.9%","±2.7","3,436","±621","25.3%","±4.2","2,487","±378","20.2%","±3.2","4,249","±667","21.0%","±2.9","2,398","±509","26.4%","±4.5","1,851","±362","16.7%","±3.4","4,349","±554","28.0%","±2.9","2,397","±366","30.9%","±4.0","1,952","±302","25.0%","±3.4","3,939","±613","23.5%","±2.9","2,124","±415","24.6%","±3.8","1,815","±338","22.4%","±3.6","2,492","±413","22.4%","±3.4","1,180","±219","23.2%","±4.0","1,312","±333","21.8%","±4.8"
